edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Oceania,AUS,2002,TRY,MEN,29.45257,9.675483,2.849678403
Oceania,AUS,2002,TRY,WOMEN,32.061394,9.819727,3.148341363
Oceania,AUS,2002,UPPSRY,MEN,37.945316,9.675483,3.671392599
Oceania,AUS,2002,UPPSRY,WOMEN,22.467733,9.819727,2.206270044
Europe,BEL,2002,NONE,MEN,39.038977,5.054584,1.973257885
Europe,BEL,2002,NONE,WOMEN,39.355911,5.278199,2.077283301
Europe,BEL,2002,TRY,MEN,27.368948,5.054584,1.383386467
Europe,BEL,2002,TRY,WOMEN,28.908737,5.278199,1.525860667
Europe,BEL,2002,UPPSRY,MEN,33.592075,5.054584,1.697939648
Europe,BEL,2002,UPPSRY,WOMEN,31.735352,5.278199,1.675055032
N America,CAN,2002,NONE,MEN,17.985527,15.537576,2.794514927
N America,CAN,2002,NONE,WOMEN,16.662738,15.822503,2.63646222
N America,CAN,2002,TRY,MEN,40.14711,15.537576,6.237887728
N America,CAN,2002,TRY,WOMEN,45.580956,15.822503,7.212048131
N America,CAN,2002,UPPSRY,MEN,41.867363,15.537576,6.505173345
N America,CAN,2002,UPPSRY,WOMEN,37.756306,15.822503,5.97399265
Europe,CHE,2002,NONE,MEN,10.961147,3.55969,0.390182854
Europe,CHE,2002,NONE,WOMEN,19.15325,3.725064,0.713470821
Europe,CHE,2002,TRY,MEN,34.223694,3.55969,1.218257413
Europe,CHE,2002,TRY,WOMEN,16.560152,3.725064,0.61687626
Europe,CHE,2002,UPPSRY,MEN,54.815159,3.55969,1.951249733
Europe,CHE,2002,UPPSRY,WOMEN,64.286598,3.725064,2.394716919
Europe,CRI,2002,NONE,MEN,68.229218,2.036864,1.389736379
Europe,CRI,2002,NONE,WOMEN,66.275039,1.985567,1.315935304
Europe,CRI,2002,TRY,MEN,18.769146,2.036864,0.382301978
